,话题,话题热点词个数,评论量,阅读量(万),讨论量
0,#枪支管控问题已成美国党派之争#,0.8333333333333334,6,57.0,31.0
1,#今年以来美国超1.9万人死于枪支暴力#,0.6666666666666666,51,82.1,3.0
2,#民调显示过半美国人支持立法收紧枪支管控#,0.5555555555555556,2,82.1,23.0
3,#得州州长拒绝加强枪支管控#,1.0,145,118.9,51.0
4,#巴西放宽枪支管控#,1.0,68,22.7,44.0
5,#美国会众议院通过枪支管控法案#,0.75,25,66.0,15.0
6,#美国会众议院通过一项枪支管控法案#,0.8,9,51.6,9.0
7,#美媒揭批美国没有枪支管控的真正原因#,0.6666666666666666,12,9.0,10.0
8,#纽约州成为第一个采取重大枪支管控措施的州#,0.8,14,16.8,9.0
9,#管控枪支还是武装学校#,1.0,25,55.6,12.0
10,#拜登再次敦促加强枪支管控#,0.75,11,24.7,11.0
11,#新西兰内阁同意加强枪支管控#,0.6,15,1.7,14.0
12,#库克抨击美国管控枪支不力#,0.6,12,10.2,10.0
13,#美国数十年来首个主要联邦控枪法#,0.6,62,131.4,47.0
14,#美国联邦最高法院推翻百年控枪法#,0.4,51,157.1,50.0
15,#美国加州三十年控枪法或遭废除#,0.4,43,70.6,65.0
17,#麦当娜呼吁控枪立法#,0.75,2,8.2,113.0
18,#美国会再一次开启控枪立法辩论#,0.4,22,33.1,16.0
19,#美国30年来首次通过控枪立法#,0.5,2,13.5,5.0
20,#美国司法和立法围绕控枪两极分化#,0.6666666666666666,61,46.8,25.0
